board_seq,title,date,writer,product_code,category,product_title,content,keyword,page
313338,참좋은여행이었습니다.,2026-02-24,정**,APP1145,패키지 > 동남아,[노쇼핑/유니버셜스튜디오 포함] 싱가포르 5일 #전일관광,급히 잡은 일정으로 급하게 준비하여출발한 여행. 4인가족으로 중딩. 초딩 아들 둘 데리고 출발ㅎㅎ 늦은 시간 공항도착 후 모니카 가이드님을 만나서참 좋았습니다. 호텔까지 도착하는 시간도 허투루 하지 않고. 설명해주시고. 일정내내 따뜻한 목소리로 설명도 열심히 해주시고. 하루는 비가왔던지라 일정도 요리조리 조율하셔서 3일 관광을 알차게 보냈습니다. 선택관광도 4가지 선택했는데. 돈안아끼길 잘했다는 생각이 듭니다. 당분간은 이 여행으로 기분좋게 일상으로 돌아가 곱씹으며 흐뭇하게 보낼것 같습니다. 모니카 이용준 가이드님. 날씨만큼 따뜻하고 즐거웠습니다. 다음에 다시 싱가포르여행하고 싶네요. 가이드 계속 하고 계신다면 또 뵙고 싶어요. 즐거웠습니다. 감사했습니다.♡♡♡,싱가포르,1
312879,글쎄요?,2026-02-21,엄**,APP1145,패키지 > 동남아,[노쇼핑/유니버셜스튜디오 포함] 싱가포르 5일 #전일관광,내돈과 내시간 투자해서 여행 갔고 패키지의 특성은 알고 있고 크나큰 기대는 안했지만 황당한 싱가폴 여행이었다.도착직후 가이드가 명절인데?여기 왜왔냐고?이게 무슨 의미의 질문인지?모르겠지만 여행의 기분을 망가트리고 싶지 않았다!18일*유니버셜스튜디오...도착시간 10시35분즈음..달러바꾸어 온다고 그자리에서 사진찍으면서 기다리라고 함...11시 거의 다되서 들어갔는데 4시30분에 만나자고 함..(일행25명중 6분은 다른 일정하러감#그시간 맞추느라 조금더 시간줄수 있었는데 만남 시간이 빠른가?조심스럽게 추측해봄)이른 저녁먹고 선택(대관람차)40여분 대기라고 일정표엔 있지만 안하신분들 실제론 1시30분 정도 대기(선택은 둘째날&네째날만 가능)19*일 미팅시간 10시에서 10시30분으로 늦춰짐...가든 바이더베이 도착시간 4시37분경..클라우드돔을 보구 5시15분까지 나오라함..사람도 많았고 사진도 제대로 못찍고 헐레벌떡 나온시간이 5시20여분경...플라워돔보고 50분까지나오라함...6시15분?즈음 저녁 식사로 송파바쿠떼...식당에 도착 7시에 2층버스(선택)관계로 타시는분들은 기다리시다가 버스타러가심..나머지분들은 기다렸다가 식사함..버스타고 오신분들은 포장해서 공항에서 드심...(케이블카 대기&(루지타고)우천으로 옷갈아입는시간&하나는 생각안남)시간 지체됐다고말도 안되는 핑계(우천이나 이런거 저런거 생각해서 미팅시간 정하는게 베테랑 가이든 아니던가?..~~~~~보타닉가든에서 자유시간 가지고 싶었는데 따라다니면서 설명듣고...남들 사진 찍어 주는것 기다리느라 어느 정도의 시간도 뺏김##고객들한테 동의없이 일정순서바꿈~~~~~~#타여행사 깃발들은거 비하?(이번 여행엔 깃발이 없어서 복잡할땐 일행 뒤보고 가는게 불편)~~~~~~일부 전..여행객들 별로 였다고 서슴없이 발언~~~~~패키지여행가서 10시30분 미팅시간은 처음해봄~~~~공항가기전 분수?(이름 까먹음*수분시간줌)있는곳 일정에 없는곳 간다면서 자화자찬....##일정에 없는곳보다 일정표에 있는거 알차게 하는것이 중요) 참좋은여행 에서 여러가이드 만나밨지만 ....글쎄요??????별로 생각하고 싶지않는 기억이지만 여기에 이렇게 주저리하는 이유는 다른 고객들은 좀...여유있게 다녔으면 하는맘에서이다!,싱가폴,1
311302,다시 일상으로 돌아왔네요~,2026-02-11,최**,APP7143,패키지 > 동남아,[4인 출발 확정] 싱가포르 5일 #노팁+노쇼핑+노옵션 #전일 관광 #시내 특급호텔,안녕하세요 ~ 부부동반 6명 한팀으로 떠난 싱가폴여행~ 두번째 방문이지만 첫번째여행은 정신없이 바쁜일정이었다면 이번 여행은 느긋하게 즐기면서도 놓치는곳이 없는 여행이었어요 공항에서 만난 지한별 가이드님과 꽉찬3일을 동행하며 현지의 소식이며 경제.정치.문화와 관광까지 여행내내 전달해주셔서 감사합니다. 특히 곳곳에서 훌륭한 솜씨로 찍어주신 사진은 귀국해도 찬찬히 들여다보며 그날의 감성을 일깨워주네요. 조금이라도 현지에서 커피를 마시며 여유를 부리는 우리를 기다려주셔서 감사드립니다. 이번여행의 장점이라면 여유로우면서도 싱가폴에서 봐야하는 여행지를 놓치지않았다는것과 마지막날 공항가기전 마지막 코스에서 여행의 화려한 유종의 미를 장식할수 있어 아쉬움을 뒤로하고 싱가폴을 떠나왔어요 우리팀 모두 지한별 가이드님의 세심한 배려에 감사했습니다. 항상건강하시고 참좋은 여행사에서도 좋은상품 좋은가격으로 선보여주시면 감사하겠습니다,싱가폴,1
309968,막내조카의 첫해외여행,2026-02-03,김**,APP1145,패키지 > 동남아,[노쇼핑/유니버셜스튜디오 포함] 싱가포르 5일 #전일관광,조카의 첫해외여행을 고민하다가 따뜻한 나라로 가자고해서 싱가포르 유니버셜 스튜디오에 가는 일정을 선택해서 갔는데 박혜련가이드님 덕분에 알차게 꼼꼼하게 설명도 해주시고 사진도 잘 찍어주시고~~26.01.13~1.17 (3박5일동안) 호텔 위치가 좋아서 해외여행의 여유로움을 느낄수 있는 아침시간~~ 넘 좋았습니다~음식도 넘 맛있게 잘 먹었고 가이드님의 화끈한 성격 덕분에 여행내내 편하게 즐겁게 보냈습니다~꽉 찬 싱가폴여행 추천합니다~,싱가포르,1
309839,싱가포르 담당 안은정 가이드님 감사합니다.,2026-02-03,권**,APP2124,패키지 > 동남아,[오차드 시내 숙박_노쇼핑/노옵션/노팁] 싱가포르 5일 #유니버셜 포함,"지난주에 부모님을 모시고 아이들과 함께 싱가포르 여행을 다녀왔습니다. 첫 만남부터 마지막 배웅끝까지 신경써주심에 부족함이 없었습니다. 특히 현지 생활에 대해 한국과의 차이를 설명해주셔서 싱가포르에 대해 전문가정도로 알게된 건 아니지만 많은 부분 알게되었습니다. 저희 가족이 큰 호응이 없어서 가이드 분께서 당황하시지 않았을까 오히려 걱정될 정도로 많은 이야기를 해주셨습니다. (만약 당황하셨다면 저희 가족이 원래 호응이 없었을 뿐 다들 좋은 여행이었다고 생각하고 계십니다...: ) ) 가이드님 덕분에 잘다녀올 수 있었고, 별탈없이 다녀올 수 있어서 좋았습니다. 저희 아이들도 가는 곳 마다 맛있게 식사해서 좋았다고 다녀와서 후유증을 앓을 정도입니다...ㅎ 다시한번 감사드리고, 항상 건강하시기 바랍니다.",싱가포르,1
309672,처음가본 싱가포르 안은정 가이드님과 함께,2026-02-02,최**,APP2123,패키지 > 동남아,[마리나베이샌즈1박 포함_노쇼핑/노옵션/노팁] 싱가포르 5일 # 유니버셜 포함,"처음가본 싱가포르 기대이상으로 좋았어요 특히 안은정 가이드님과 함께 해서 싱가포르의 문화,법,군대,학교.생활등등 200프로 알려주히면서 참좋은 여행이였어요. 다시하고픈 안은정가이드님 현지 잘계시구 언제 한국오시면 꼭연락주세요 소주한잔하게요~^^",싱가포르,2
309455,허윤선 가이드님 짱!,2026-02-01,정**,APP1141,패키지 > 동남아,[노쇼핑/오차드 시내 중심 호텔 숙박] 싱가포르 5일 # 1일 자유,해박하고 전문적인 지식 덕분에 정말 즐거운 싱가포르 여행이었습니다! 허윤선 가이드님 감사합니다!,싱가포르,2
309192,모든 것이 좋았던 여행!,2026-01-30,황**,APP1145,패키지 > 동남아,[노쇼핑/유니버셜스튜디오 포함] 싱가포르 5일 #전일관광,"저희는 박혜련 가이드님과 함께한 3박 5일 싱가포르 여행이었는데요. 개인적으로 널널한 여행은 별로 안좋아해서 그런지, 이번 여행일정이 꽉 차 있어서 좋았습니다. 부모님 두분과 23개월 아기가 함께 하는 가족여행이라 이것저것 신경쓸 것도 많았는데, 가이드님이 설명도 잘해주시고 잘 챙겨주셔서 수월한 여행이었습니다. 호텔은 많이 작긴 했지만 대신 조식 훌륭했고, 일정 중의 식사도 다 맛있었어요. 부모님도 음식이 다 좋았다고 하셨습니다. 트윈룸에 아기침대를 미리 준비해주셨는데 아기침대 때문에 방이 더 좁아서 빼버리고, 트윈침대 매트리스 두개를 붙여서 아기 가운데에 재웠더니 방 공간을 훨씬 넓게 쓸 수 있었습니다. 가이드님은 겉보기에 엄청 다정다감한 말투를 가지신 분은 아니었지만 단호하게 할 것과 하지 말아야 할 것들 명확하게 설명해 주신 부분이 좋았습니다. 일정마다 재빠르게, 그리고 미리 움직이셔서 줄 덜 서고 편안하게 관광할 수 있었구요. 본업에 충실하신 모습에 감사드립니다ㅎ 마치 싱가포르를 다 둘러본 것 같은 충분히 만족스러운 여행이었구요. 덤으로 비도 한번도 안내려서 더 감사한 여행이었습니다!!!",싱가포르,2
308244,안은정 가이드님과 어머나어머나~싱가포르여행!,2026-01-26,정**,APP1142,패키지 > 동남아,[노쇼핑 / 마리나베이샌즈 호텔 1박 포함] 싱가포르 5일 # 1일자유,"안은정 가이드님과 어머나어머나~싱가포르여행! 오래된 지인들과 들뜬 마음으로 떠난 여행길, 차량 이동시마다 동화책 옛이야기 풀어내듯 재밌게 추임새를 넣으며 설명해주셨어요. 마지막 날 저녁 , 공항 출발 전 여유로운 시간을 선택관광 리버보트를 골랐는데 멋진야경~탁월한 선택이었지요. 항상 밝게 웃는 얼굴로 맞이해주시고, 당혹스런 문제를 내일처럼 발벗고 나서서 완벽 해결해 주는 멋진 분으로 기억하게 되었네요. 즐겁고 행복한 여행이었습니다. 덕분에 좋은 추억 가득담고 왔어요. 항상 건강하세요~^*^",싱가포르,2
308105,딸과의 낭만 여행,2026-01-25,유**,EPP4557,패키지 > 유럽,"[명불허전] 동유럽 3개국 9일 # 체오헝 / 직항 / 프라하 야경 유람선, 클림트(키스), 이색 소도시",딸이랑 둘이서만 가는 첫번째 여행으로 참좋은 여행의 동유럽 패키지를 선택했어요 지난 9월에 친구와 싱가포르 여행이 만족스러워서 또 다시 참좋은 여행을 선택했어요 자유여행이 아닌 패키지를 선택하는 이유는 아무래도 여자 둘이라 안전때문입니다 패키지라 정해진 시간 때문에 미술관 작품들은 꼼꼼히 보지못한 아쉬움이 있긴 하지만 전반적으로 좋은 여행이었어요 첫날 안개로 부다페스트 국회의사당 야경을 못 본것 빼고는 날씨요정의 도움으로 만족했습니다 헝가리 부다페스트의 카페 제르보의 여왕이 마시던 멜란쥬 오스트리아 벨베데레 궁전의 미술관 비엔나의 작은 음악회 카페 자허의 아인슈페너와 자허 토르테 체코 프라하 야경 투어와 시내 올드카 탑승 모두 모두 기억에 남는 행복한 시간이었습니다 담번에 4가족의 여행을 계획중이예요 참좋은 여행으로요,싱가포르,2
