travel_style,keyword,count,avg_price,median_price,min_price,max_price,avg_days,avg_nights,cancelled_ratio
휴양형,나트랑,9,1175889.0,899000,599000,3030000,5,3,0.222
휴양형,다낭,6,1479000,1299000.0,629000,2849000,5,3,0.667
